ln01: aa,   ddd1,   bb,   ccc,   ddd22,   eee,   f,  
ln02: aa,   ddd1,   bb,   ccc,   ddd22,   eee,   f,  
≺1:ln03: aa,   ddd1≻,--removed_multiline_quotation--,≺2:   eee,   f,  ≻
ln04: aa,   ddd1,   bb,   ccc,   ddd22,   eee,   f,  
ln05: aa,   ddd1,   bb,   ccc,   ddd22,   eee,   f,  
ln06: aa,   ddd1,"  bb,   ccc,   ddd22,   eee,   f,  
ln07: aa,   ddd1,   bb,   ccc,   ddd22,   eee,   f,  
ln08: aa,   ddd1,   bb,   ccc,   ddd22,   ee",   f,  
ln09: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln10: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln11: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln12: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln13: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
≺1:ln14: aa,   ddd3≻,--removed_multiline_quotation--,≺2:   ddd44,   eee,   f,  ≻
ln15: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln16: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln17: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln18: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln19: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln20: aa,   ddd1,"  bb,   ccc,   ddd22,   eee,   f,  
ln21: aa,   ddd1,   bb,   ccc,   ddd2e,   eee,   f,  
ln22: aa,   ddd1,   bb,   ccc,   ddd2",   eee,   f,  
ln23: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln24: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln25: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln26: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
Downloaded Data (x. Prefix)
Controlled Text for Testing RegEx Captures
